Time (ns),trace,xx,yy,zz,yx,zx,zy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.05342,0.699741,0.697084,0.656593,0.00461013,0.00405299,0.004253
0.2,4.07235,1.3928,1.38758,1.29197,-0.000364041,0.0138726,0.0104562
0.3,6.07623,2.08773,2.07837,1.91013,-0.00301214,0.017784,0.0174344
0.4,8.04084,2.78585,2.75788,2.4971,-0.00677877,0.0233253,0.0307312
0.5,9.98973,3.49014,3.42669,3.0729,-0.0193687,0.0310369,0.05839
0.6,11.9365,4.19275,4.09131,3.6524,-0.0345112,0.035979,0.0723735
0.7,13.8579,4.89769,4.7505,4.20975,-0.0450734,0.0438219,0.0841811
0.8,15.7871,5.60942,5.41014,4.76753,-0.0571571,0.0600555,0.0920027
0.9,17.6905,6.30841,6.07778,5.30433,-0.0613254,0.0752336,0.0997482
1.0,19.6051,7.01451,6.74952,5.84111,-0.0740298,0.0882501,0.102887
1.1,21.5049,7.7252,7.41223,6.3675,-0.0768542,0.101181,0.108595
1.2,23.3902,8.42895,8.0696,6.89164,-0.0857613,0.113992,0.11901
1.3,25.2674,9.14337,8.71642,7.40757,-0.104849,0.117991,0.134187
1.4,27.1394,9.84641,9.36821,7.92476,-0.119604,0.127704,0.158381
1.5,28.9944,10.5361,10.0215,8.4368,-0.137124,0.132882,0.179582
1.6,30.8487,11.2274,10.6828,8.93852,-0.145918,0.1443,0.196033
1.7,32.6805,11.922,11.3239,9.43464,-0.161005,0.156325,0.221556
1.8,34.4845,12.6178,11.9566,9.91005,-0.182036,0.172332,0.251987
1.9,36.2728,13.2961,12.5887,10.3881,-0.192144,0.170387,0.28234
2.0,38.0177,13.9586,13.2195,10.8396,-0.208638,0.170637,0.30618
2.1,39.7401,14.6036,13.8452,11.2913,-0.226219,0.181772,0.336606
2.2,41.5003,15.2441,14.4992,11.757,-0.240932,0.19986,0.377132
2.3,43.2662,15.8806,15.1584,12.2272,-0.256102,0.230068,0.412442
2.4,45.0331,16.5211,15.8108,12.7013,-0.273777,0.258571,0.438114
2.5,46.7971,17.1631,16.4783,13.1557,-0.286902,0.285993,0.479454
2.6,48.5438,17.8002,17.1392,13.6045,-0.308076,0.311462,0.519925
2.7,50.2788,18.4308,17.7922,14.0559,-0.332223,0.308221,0.561886
2.8,52.0047,19.0687,18.4406,14.4955,-0.359571,0.305724,0.612473
2.9,53.7547,19.7188,19.1048,14.9311,-0.385412,0.270661,0.65284
3.0,55.4647,20.3547,19.7572,15.3527,-0.408645,0.233033,0.682072
3.1,57.2027,20.9894,20.4236,15.7897,-0.423824,0.189518,0.716014
3.2,58.8968,21.6138,21.0701,16.2128,-0.442258,0.150782,0.748041
3.3,60.566,22.2447,21.7116,16.6097,-0.484439,0.126892,0.763443
3.4,62.2307,22.8877,22.3427,17.0003,-0.529599,0.0978008,0.792326
3.5,63.8579,23.5199,22.9476,17.3905,-0.562834,0.0627844,0.812611
3.6,65.4366,24.1231,23.5323,17.7812,-0.606195,0.0277975,0.823406
3.7,67.0599,24.7533,24.1309,18.1757,-0.660748,0.00149758,0.82528
3.8,68.7025,25.385,24.7259,18.5917,-0.734884,-0.0270434,0.848909
3.9,70.3608,26.0332,25.3293,18.9983,-0.824733,-0.0620877,0.866984
4.0,72.0708,26.6954,25.9501,19.4253,-0.911621,-0.0946332,0.877758
4.1,73.7515,27.37,26.5768,19.8048,-1.00173,-0.114855,0.873076
4.2,75.4486,28.0473,27.2058,20.1956,-1.0854,-0.13266,0.878959
4.3,77.1477,28.7302,27.8331,20.5844,-1.17321,-0.13929,0.880055
4.4,78.8773,29.423,28.4555,20.9988,-1.2661,-0.124593,0.872063
4.5,80.555,30.1181,29.0465,21.3904,-1.33719,-0.137051,0.873196
4.6,82.2225,30.8079,29.6215,21.7931,-1.41343,-0.149578,0.895343
4.7,83.8619,31.4537,30.2133,22.1949,-1.49949,-0.17604,0.915135
4.8,85.4886,32.1049,30.8056,22.578,-1.59374,-0.200821,0.934002
4.9,87.0959,32.7753,31.3979,22.9227,-1.67706,-0.233635,0.932709
5.0,88.7056,33.4454,31.9888,23.2715,-1.74362,-0.24394,0.926532
5.1,90.4016,34.1404,32.6388,23.6224,-1.80597,-0.25644,0.941194
5.2,92.0847,34.8356,33.2707,23.9783,-1.86743,-0.25016,0.955027
